n max_weight iterations time
2 59 1 0.000000
3 81 2 0.000000
4 79 1 0.000000
5 217 4 0.000000
6 143 2 0.000000
7 191 3 0.000000
8 289 4 0.000000
9 279 5 0.000000
10 169 2 0.000000
11 175 2 0.000000
12 193 4 0.000000
13 380 7 0.000000
14 159 2 0.000000
15 97 1 0.000000
16 110 2 0.000000
17 636 9 0.000000
18 227 3 0.000000
19 237 3 0.000000
20 213 3 0.000000
21 177 2 0.000000
22 371 5 0.000000
23 237 4 0.000000
24 313 4 0.000000
25 513 8 0.000000
26 499 6 0.000000
27 559 9 0.000000
28 344 5 0.000000
29 204 3 0.000000
30 329 4 0.000000
31 186 2 0.000000
32 298 4 0.000000
33 318 4 0.000000
34 194 3 0.000000
35 191 3 0.000000
36 295 4 0.000000
37 653 12 0.000000
38 346 5 0.000000
39 166 2 0.000000
40 379 6 0.000000
41 95 1 0.000000
42 196 2 0.000000
43 195 2 0.000000
44 358 5 0.000000
45 1017 16 0.000000
46 510 7 0.000000
47 357 6 0.000000
48 1905 36 0.000000
49 685 12 0.000000
50 97 1 0.000000
51 169 2 0.000000
52 385 5 0.000000
53 316 4 0.000000
54 434 6 0.000000
55 729 11 0.000000
56 323 4 0.000000
57 290 3 0.000000
58 241 3 0.000000
59 1662 27 0.000000
60 459 5 0.000000
61 314 4 0.000000
62 1068 18 0.000000
63 562 7 0.000000
64 686 10 0.000000
65 154 2 0.000000
66 651 9 0.000000
67 281 3 0.000000
68 283 4 0.000000
69 185 2 0.000000
70 956 14 0.000000
71 276 4 0.000000
72 1617 22 0.000000
73 396 6 0.000000
74 100 1 0.000000
75 991 13 0.000000
76 2512 43 0.000000
77 189 2 0.000000
78 449 6 0.000000
79 475 6 0.000000
80 197 2 0.000000
81 1068 14 0.000000
82 792 11 0.000000
83 319 5 0.000000
84 186 2 0.000000
85 882 12 0.000000
86 292 4 0.000000
87 1786 26 0.000000
88 294 4 0.000000
89 358 4 0.000000
90 320 4 0.000000
91 1768 24 0.000000
92 550 7 0.000000
93 146 2 0.000000
94 1570 24 0.000000
95 1089 16 0.000000
96 233 3 0.000000
97 639 9 0.000000
98 452 6 0.000000
99 351 5 0.000000
100 283 3 0.000000
101 2017 30 0.000000
102 441 5 0.000000
103 281 3 0.000000
104 864 13 0.000000
105 182 2 0.000000
106 292 4 0.000000
107 1395 17 0.000000
108 1002 12 0.000000
109 865 12 0.000000
110 973 12 0.000000
111 488 6 0.000000
112 294 3 0.000000
113 280 3 0.000000
114 348 4 0.000000
115 882 13 0.000000
116 332 4 0.000000
117 246 3 0.000000
118 655 8 0.000000
119 358 4 0.000000
120 276 3 0.000000
121 1465 21 0.000000
122 493 7 0.000000
123 1492 20 0.015623
124 374 4 0.000000
125 285 3 0.000000
126 483 7 0.000000
127 1211 18 0.000000
128 384 6 0.000000
129 1588 21 0.000000
130 392 5 0.000000
131 1105 15 0.000000
132 896 14 0.000000
133 504 6 0.000000
134 1557 21 0.000000
135 365 5 0.000000
136 405 5 0.000000
137 192 2 0.000000
138 800 10 0.000000
139 1191 15 0.000000
140 213 3 0.000000
141 747 12 0.000000
142 200 3 0.000000
143 1479 20 0.000000
144 1113 16 0.000000
145 586 7 0.000000
146 169 2 0.000000
147 421 5 0.000000
148 197 2 0.000000
149 509 6 0.000000
150 2834 43 0.000000
151 462 6 0.000000
152 274 3 0.000000
153 157 2 0.000000
154 362 4 0.000000
155 384 5 0.000000
156 241 3 0.000000
157 1827 26 0.000000
158 495 6 0.000000
159 459 6 0.000000
160 325 4 0.000000
161 530 7 0.000000
162 475 5 0.000000
163 548 7 0.000000
164 184 2 0.000000
165 303 4 0.000000
166 973 12 0.000000
167 5833 91 0.000000
168 536 6 0.000000
169 304 4 0.000000
170 702 8 0.000000
171 390 5 0.000000
172 2063 29 0.000000
173 387 5 0.000000
174 1177 15 0.000000
175 537 6 0.000000
176 193 2 0.000000
177 1578 20 0.000000
178 822 9 0.000000
179 1140 18 0.000000
180 1214 15 0.000000
181 624 8 0.000000
182 3119 44 0.015617
183 423 5 0.000000
184 290 4 0.000000
185 1138 13 0.000000
186 1049 14 0.000000
187 288 4 0.000000
188 198 2 0.000000
189 193 2 0.000000
190 343 4 0.000000
191 558 6 0.000000
192 1300 16 0.000000
193 459 5 0.000000
194 449 6 0.000000
195 367 5 0.000000
196 611 7 0.000000
197 356 5 0.000000
198 183 2 0.000000
199 761 9 0.000000
200 456 5 0.000000
