n,max_weight,iterations,time
2,59,3,0.0
3,83,7,0.0
4,81,15,0.0
5,136,31,0.0
6,271,63,0.0
7,117,127,0.0
8,224,255,0.0
9,243,511,0.0009949207305908
10,156,1023,0.0
11,180,2047,0.0009973049163818
12,86,4095,0.0018184185028076
13,323,8191,0.0050351619720458
14,316,16383,0.0116701126098632
15,750,32767,0.0638933181762695
16,436,65535,0.0734188556671142
17,279,131071,0.0886957645416259
18,392,262143,0.2196195125579834
19,474,524287,0.8804054260253906
20,630,1048575,0.9626131057739258
21,365,2097151,1.521806240081787
22,416,4194303,3.029423236846924
23,557,8388607,8.109068393707275
24,194,16777215,11.208978414535522
25,199,33554431,25.374451160430908
26,427,67108863,61.93980050086975
27,262,134217727,106.26047396659852
28,453,268435455,228.15196442604065
29,246,536870911,554.2129280567169
30,266,1073741823,1037.4483008384705
