n,max_weight,iterations,time
2,59,1,0.0
3,83,2,0.0
4,81,3,0.0
5,136,2,0.0
6,227,3,0.0
7,79,1,0.0
8,224,3,0.0
9,243,3,0.0
10,156,2,0.0
11,180,2,0.0
12,86,1,0.0
13,241,4,0.0
14,316,6,0.0
15,750,12,0.0
16,435,8,0.0
17,279,4,0.0
18,360,5,0.0
19,466,8,0.0
20,497,6,0.0
21,365,4,0.0
22,360,7,0.0
23,511,8,0.0
24,128,2,0.0
25,190,3,0.0
26,349,6,0.0
27,262,3,0.0
28,439,6,0.0
29,211,3,0.0
30,223,3,0.0
31,780,12,0.0
32,204,3,0.0
33,282,3,0.0
34,280,3,0.0
35,270,3,0.0
36,484,6,0.0
37,252,3,0.0
38,344,5,0.0
39,348,4,0.0
40,815,10,0.0
41,171,2,0.0
42,309,4,0.0
43,354,5,0.0
44,2106,39,0.0
45,688,9,0.0
46,525,9,0.0
47,731,10,0.0
48,187,2,0.0
49,464,6,0.0
50,687,10,0.0
51,180,2,0.0
52,331,5,0.0
