n max_weight iterations time
2 59 1 0.000000
3 83 2 0.000000
4 81 3 0.000000
5 136 2 0.000000
6 227 3 0.000000
7 79 1 0.000000
8 224 3 0.000000
9 243 3 0.000000
10 156 2 0.000000
11 180 2 0.000000
12 86 1 0.000000
13 241 4 0.000000
14 316 6 0.000000
15 750 12 0.000000
16 435 8 0.000000
17 279 4 0.000000
18 360 5 0.000000
19 466 8 0.000000
20 497 6 0.000000
21 365 4 0.000000
22 360 7 0.000000
23 511 8 0.000000
24 128 2 0.000000
25 190 3 0.000000
26 349 6 0.000000
27 262 3 0.000000
28 439 6 0.000000
29 211 3 0.000000
30 223 3 0.000000
31 780 12 0.000000
32 204 3 0.000000
33 282 3 0.000000
34 280 3 0.000000
35 270 3 0.000000
36 484 6 0.000000
37 252 3 0.000000
38 344 5 0.000000
39 348 4 0.000000
40 815 10 0.000000
41 171 2 0.000000
42 309 4 0.000000
43 354 5 0.000000
44 2106 39 0.000000
45 688 9 0.000000
46 525 9 0.000000
47 731 10 0.000000
48 187 2 0.000000
49 464 6 0.000000
50 687 10 0.000000
51 180 2 0.000000
52 331 5 0.000000
